company_name,stock_code,corp_code
한화비전,489790,01867758
HD현대마린솔루션,443060,01194689
에이피알,278470,01190568
엘앤에프,066970,00398701
포스코DX,022100,00155212
에코프로머티,450080,01311408
두산로보틱스,454910,01105153
이수스페셜티케미컬,457190,01762569
OCI,456040,01760738
LG에너지솔루션,373220,01515323
SK스퀘어,402340,01596425
카카오페이,377300,01244601
HD현대중공업,329180,01390344
크래프톤,259960,00760971
카카오뱅크,323410,01133217
에스디바이오센서,137310,00854997
F&F,383220,01568413
SK아이이테크놀로지,361610,01386916
SK바이오사이언스,302440,01319899
DL이앤씨,375500,01524093
하이브,352820,01204056
에스케이바이오팜,326030,00878696
한화시스템,272210,00339391
포스코퓨처엠,003670,00155276
더블유게임즈,192080,01010110
우리금융지주,316140,01350869
한일시멘트,300720,01319808
HS효성첨단소재,298050,01316254
효성중공업,298040,01316245
효성티앤씨,298020,01316227
셀트리온,068270,00413046
SK케미칼,285130,01267170
BGF리테일,282330,01263022
롯데웰푸드,280360,01258507
카카오,035720,00258801
오리온,271560,01238169
미원에스씨,268280,01234297
넷마블,251270,00904672
HD현대,267250,01205709
HD현대일렉트릭,267260,01205851
덴티움,145720,00526599
두산밥캣,241560,01032486
삼성바이오로직스,207940,00877059
동서,026960,00144395
LIG넥스원,079550,00503668
삼성물산,028260,00149655
씨에스윈드,112610,00670340
삼성에스디에스,018260,00126186
HL만도,204320,01042775
코스맥스,192820,01009789
종근당,185750,00992871
현대로템,064350,00302926
한진칼,180640,00983040
JB금융지주,175330,00980122
한국콜마,161890,00939331
한국타이어앤테크놀로지,161390,00937324
GS리테일,007070,00140177
하나투어,039130,00269940
한국항공우주,047810,00309503
이마트,139480,00872984
iM금융지주,139130,00878915
메리츠금융지주,138040,00860332
BNK금융지주,138930,00858364
현대위아,011210,00106623
미스토홀딩스,081660,00195229
한미약품,128940,00828497
삼성생명,032830,00126256
한화생명,088350,00113058
코오롱인더,120110,00795135
지역난방공사,071320,00159698
한전기술,052690,00159209
GKL,114090,00557508
SK,034730,00181712
하이트진로,000080,00150244
키움증권,039490,00296290
영원무역,111770,00776820
NAVER,035420,00266961
KB금융,105560,00688996
풍산,103140,00684714
LG이노텍,011070,00105961
LG유플러스,032640,00231363
한전KPS,051600,00159218
CJ제일제당,097950,00635134
팬오션,028670,00122737
SK이노베이션,096770,00631518
삼성카드,029780,00126292
후성,093370,00595191
아모레퍼시픽,090430,00583424
롯데쇼핑,023530,00120526
현대글로비스,086280,00360595
하나금융지주,086790,00547583
한미반도체,042700,00161383
금호타이어,073240,00481454
GS,078930,00500254
LG디스플레이,034220,00105873
기업은행,024110,00149646
강원랜드,035250,00255619
한국금융지주,071050,00432102
엔씨소프트,036570,00261443
현대백화점,069960,00428251
대웅제약,069620,00427483
티케이지휴켐스,069260,00426086
한샘,009240,00161693
LG전자,066570,00401731
신한지주,055550,00382199
코웨이,021240,00170558
LG생활건강,051900,00356370
LG화학,051910,00356361
대우건설,047040,00124540
포스코인터내셔널,047050,00124504
HD현대인프라코어,042670,00344287
한화오션,042660,00111704
두산에너빌리티,034020,00159616
한국가스공사,036460,00261285
케이티앤지,033780,00244455
HD한국조선해양,009540,00164830
대한유화,006650,00260383
케이티,030200,00190321
제일기획,030000,00148276
SKC,011790,00139889
SK하이닉스,000660,00164779
삼성E&A,028050,00126308
HDC,012630,00164636
한온시스템,018880,00161125
현대엘리베이터,017800,00164724
에스원,012750,00158501
HMM,011200,00164645
한국카본,017960,00159795
오뚜기,007310,00141529
엘에스일렉트릭,010120,00105855
동원시스템즈,014820,00132637
삼성중공업,010140,00126478
롯데케미칼,011170,00165413
세아베스틸지주,001430,00106669
호텔신라,008770,00165680
고려아연,010130,00102858
한올바이오파마,009420,00162586
SK텔레콤,017670,00159023
미원상사,002840,00121932
현대모비스,012330,00164788
현대해상,001450,00164973
한국전력공사,015760,00159193
녹십자,006280,00129679
한솔케미칼,014680,00140955
동원산업,006040,00118026
에스엘,005850,00125521
영원무역홀딩스,009970,00140964
DN오토모티브,007340,00116949
율촌화학,008730,00145260
한미사이언스,008930,00161426
POSCO홀딩스,005490,00155319
삼성증권,016360,00104856
금호석유화학,011780,00106368
세방전지,004490,00133858
코스모화학,005420,00160302
S-Oil,010950,00138279
한화에어로스페이스,012450,00126566
현대제철,004020,00145880
신세계,004170,00136378
OCI홀딩스,010060,00148896
현대건설,000720,00164478
TCC스틸,002710,00117300
HD현대미포,010620,00164609
GS건설,006360,00120030
삼성SDI,006400,00126362
삼성전기,009150,00126371
녹십자홀딩스,005250,00108135
LS,006260,00105952
농심,004370,00108241
한화,000880,00160588
영풍,000670,00141307
롯데정밀화학,004000,00157681
DL,000210,00109693
태광산업,003240,00153393
NH투자증권,005940,00120182
미래에셋증권,006800,00111722
삼성화재해상보험,000810,00139214
삼양식품,003230,00126955
오리온홀딩스,001800,00117577
삼성전자,005930,00126380
KG모빌리티,003620,00138242
현대자동차,005380,00164742
한화솔루션,009830,00162461
롯데지주,004990,00120562
기아,000270,00106641
CJ,001040,00148540
두산,000150,00117212
DB손해보험,005830,00159102
대웅,003090,00111810
케이씨씨,002380,00105271
롯데칠성음료,005300,00120571
아모레퍼시픽홀딩스,002790,00154462
대상,001680,00121941
LG,003550,00120021
세아제강지주,003030,00124197
대한전선,001440,00113207
한국앤컴퍼니,000240,00160047
대한항공,003490,00113526
유한양행,000100,00145109
CJ대한통운,000120,00113410
