Unnamed: 0,company_name,이벤트 발생 횟수,source,stock_code,corp_code
0,한화비전,0,없음,489790,1867758
1,HD현대마린솔루션,0,없음,443060,1194689
2,에이피알,0,없음,278470,1190568
3,엘앤에프,0,없음,66970,398701
4,포스코DX,0,없음,22100,155212
5,에코프로머티,0,없음,450080,1311408
6,두산로보틱스,0,없음,454910,1105153
7,이수스페셜티케미컬,0,없음,457190,1762569
8,OCI,0,없음,456040,1760738
9,LG에너지솔루션,0,없음,373220,1515323
10,SK스퀘어,0,없음,402340,1596425
11,카카오페이,0,없음,377300,1244601
12,HD현대중공업,0,없음,329180,1390344
13,크래프톤,0,없음,259960,760971
14,카카오뱅크,0,없음,323410,1133217
15,에스디바이오센서,0,없음,137310,854997
16,F&F,0,없음,383220,1568413
17,SK아이이테크놀로지,0,없음,361610,1386916
18,SK바이오사이언스,0,없음,302440,1319899
19,DL이앤씨,0,없음,375500,1524093
20,하이브,0,없음,352820,1204056
21,에스케이바이오팜,0,없음,326030,878696
22,한화시스템,0,없음,272210,339391
23,포스코퓨처엠,0,없음,3670,155276
24,더블유게임즈,0,없음,192080,1010110
25,우리금융지주,2,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250131800004; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241122800595,316140,1350869
26,한일시멘트,0,없음,300720,1319808
27,HS효성첨단소재,0,없음,298050,1316254
28,효성중공업,0,없음,298040,1316245
29,효성티앤씨,0,없음,298020,1316227
30,셀트리온,0,없음,68270,413046
31,SK케미칼,0,없음,285130,1267170
32,BGF리테일,0,없음,282330,1263022
33,롯데웰푸드,0,없음,280360,1258507
34,카카오,0,없음,35720,258801
35,오리온,0,없음,271560,1238169
36,미원에스씨,0,없음,268280,1234297
37,넷마블,0,없음,251270,904672
38,HD현대,0,없음,267250,1205709
39,HD현대일렉트릭,0,없음,267260,1205851
40,덴티움,0,없음,145720,526599
41,두산밥캣,1,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240726800623,241560,1032486
42,삼성바이오로직스,3,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240220800753; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240214800847; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201015800469,207940,877059
43,동서,0,없음,26960,144395
44,LIG넥스원,0,없음,79550,503668
