stock_code,date,1D_return,2D_return,3D_return,4D_return,5D_return,6D_return,7D_return,8D_return,9D_return,10D_return
10130,2025-01-24,-2.49,-2.49,-2.49,-2.49,-2.49,-2.49,-2.49,-6.63,-6.63,-6.63
11790,2025-01-16,9.4,6.83,6.83,6.83,6.9,7.46,1.69,2.01,,
161390,2025-05-29,-0.65,-1.68,-1.68,-1.68,-0.52,-0.52,0.65,2.45,2.45,2.45
207940,2025-02-03,-2.1,-0.91,-0.55,5.94,3.2,3.2,3.2,7.21,5.66,7.67
24110,2025-01-10,0.27,0.27,0.27,0.61,0.27,0.68,0.41,1.02,1.02,1.02
270,2025-03-25,0.6,-2.88,-5.46,-8.43,-8.43,-8.43,-7.54,-8.63,-9.92,-11.01
270,2025-05-29,-4.08,-5.15,-5.15,-5.15,-3.86,-3.86,-0.11,2.25,2.25,2.25
28260,2025-02-03,-0.08,-0.17,0.76,1.1,-0.08,-0.08,-0.08,0.08,1.94,2.44
3230,2025-02-27,-2.71,-3.62,-3.62,-3.62,-3.62,1.02,4.86,2.49,1.47,1.47
34730,2025-01-16,0.27,0.41,0.41,0.41,-1.3,-0.41,0.89,1.43,,
34730,2025-06-23,1.74,3.42,3.93,0.92,4.44,4.44,4.44,14.15,,
352820,2025-05-28,-2.51,-4.66,-2.51,-2.51,-2.51,0.72,0.72,1.97,8.24,8.24
42660,2025-05-23,3.82,3.82,3.82,3.68,0.66,2.76,2.63,2.37,2.37,2.37
