event_id,stock_code,date,title,source,summary,ticker,1D_return,2D_return,3D_return,4D_return,5D_return
10130_event1,10130,2025-01-24,MBK-영풍 “우리 의결권 불법 박탈” 고려아연 회장 고발키로,https://www.donga.com/news/Economy/article/all/20250124/130928318/1,MBK파트너스와 영풍 연합이 최윤범 고려아연 회장과 박기덕 대표이사 등을 공정거래법 위반과 배임 혐의 등으로 형사 고발하겠다고 24일 밝혔다. 전날 팔면서(배임)까지 공정거래법이 엄격히 금지하는 탈법행위를 저질렀다”고 주장했다. 그러면서 “최 회장 측이 공정거래법상 문제가 되는 순환출자...,010130.KS,,,,,
11790_event1,11790,2025-01-16,"최신원 전 SK네트웍스 회장, 2심서 징역 2년 6개월 법정구속",https://www.donga.com/news/Society/article/all/20250116/130876455/1,"2000억 원대 횡령 및 배임 등 혐의로 기소된 최신원 전 SK네트웍스 회장이 항소심에서 실형을 선고받고 법정구속됐다. 서울고법 형사13부(부장판사... 대금 납부, 부실 계열사 지원 등 명목으로 SK네트웍스와 SKC, SK텔레시스 등 계열사 6곳에서 총 2235억 원의 횡령·배임을 저지른 혐의 등으로 재판에 넘겨졌다.",011790.KS,,,,,
161390_event1,161390,2025-05-29,‘200억원대 횡령·배임’ 조현범 한국타이어 회장 1심서 징역 3년,https://www.chosun.com/national/court_law/2025/05/29/4D4PJRUKXFAWJPEYOD2OWB6US4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,"200억원대 규모의 횡령·배임 등 혐의로 재판에 넘겨진 조현범 한국타이어앤테크놀로지(한국타이어) 회장이 29일 1심에서 실형을 선고받고, 법정구속 되었다. 서울중앙지법 형사23부는 조 회장의 업무상 배임과 배임수재죄 등에 대해 판결을 내렸다.",161390.KS,,,,,
207940_event1,207940,2025-02-03,이재용 ‘삼바 분식회계 의혹’ 2심도 무죄…“고의성 입증 안돼”,https://www.chosun.com/national/court_law/2025/02/03/R4AHEA7ZMRDRZPXDGPCRXPQN3M/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,"검찰은 지난해 2월 이 회장이 1심 재판에서 모두 무죄를 선고 받자 항소심에서 2144건에 달하는 추가 증거를 제출하고, 지난해 8월 ‘2015년 삼성바이오의 회계처리에 문제가 있었다’고 판단한 서울행정법원의 판결을 근거로 이 회장의 분식회계 혐의 관련 예비적 공소사실을 추가하는 등 공소장 변경에...",207940.KS,,,,,
24110_event1,24110,2025-01-10,"IBK기업은행서 200억원대 불법 대출…금감원, 현장검사 착수",https://www.joongang.co.kr/article/25306623,10일 금융당국 및 은행권에 따르면 기업은행은 전날 홈페이지에 업무상 배임 등으로 239억5000만원 규모의 금융사고가 발생했다고 공시했다. 기업은행은 해당 공시에서 '자체 정기 감사를 통해 발견했다'며 '관련 직원 인사 조치 및 관련인 형사고소를 계획 중'이라고 밝혔다. 해당 사고는 퇴직 후 부동산업에...,024110.KS,,,,,
270_event1,270,2025-03-25,“기아차 취업시켜 줄게” 지인들에게 5억 챙긴 노조간부 구속,https://www.joongang.co.kr/article/25323447,광주경찰청 형사기동대는 사기 혐의로 기아 퇴직 직원이자 노조 간부 출신인 50대 A씨를 구속했다고 밝혔다. A씨는 지인들에게 취업 알선을 빌미로 현금을 챙긴 혐의를 받는다.,000270.KS,,,,,
270_event3,270,2025-05-29,‘억대 뒷돈 수수’ 혐의 기아타이거즈 전 단장·감독 2심도 무죄,https://www.chosun.com/national/court_law/2025/05/29/QRDCQQTVG5FE5OG56YLG63KDOM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,서울고법 형사13부는 배임수재 등 혐의로 기소된 장 전 단장과 김 전 감독에게 1심과 같이 무죄를 선고했다. 재판부는 이들의 행위가 도덕적·법적 정당성이 있는지는 의문이라면서도 검사의 기소된 혐의를 입증할 증거 부족을 언급했다.,000270.KS,,,,,
28260_event1,28260,2025-02-03,이재용 '부당합병·회계부정' 항소심도 무죄…'승계만 목적은 아냐',https://www.joongang.co.kr/article/25311342,"이 회장은 2015년 삼성물산과 제일모직 합병에 부당하게 관여하고, 회계방식 변경을 통해 제일모직 자회사였던 삼성바이오의 4조5000억원대 분식회계에 관여한 혐의로 2020년 9월 기소되었지만, 항소심에서도 무죄 판결을 받았다.",028260.KS,,,,,
3230_event1,3230,2025-02-27,"‘허위 세금계산서’ 발급 삼양식품 前회장, 대법 “무죄 부분 다시 심...",https://www.chosun.com/national/court_law/2025/02/27/KHUEXSN4RRECRDT65ZMNS7Z3J4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,"“계열사는 페이퍼컴퍼니의 명의만을 빌려 사업자등록을 하고, 실제 사업을 하려는 게 아닌 횡령의 목적이나 그 과정에서 페이퍼컴퍼니로 계열사의 매출을 이전시키면서 페이퍼컴퍼니 명의의 기존 사업자등록을 이용해 세금계산서를 거짓으로 발급·수취하는 등의 행위를 했다”며 “적어도...",003230.KS,,,,,
34730_event1,34730,2025-01-16,‘2235억 횡령·배임’ SK 최신원 2심도 징역 2년6개월…법정구속,https://n.news.naver.com/mnews/article/025/0003415283?sid=102,2235억원의 회삿돈 횡령·배임 혐의로 재판에 넘겨진 최신원 전 SK네트웍스 회장이 항소심에서 실형을 선고받고 법정구속됐다. 서울고법 형사13부는 16일 특정경제범죄법상 횡령·배임 등의 혐의로 기소된 최 전 회장에게 1심과 같은 징역 2년 6개월을 선고했다.,034730.KS,,,,,
34730_event3,34730,2025-06-23,내란 특검 '1호 기소’ 김용현 추가 구속 갈림길…김형수 특검보 오늘...,https://www.joongang.co.kr/article/25345723,2017년 박근혜 전 대통령의 ‘국정농단’ 의혹 재판에선 검찰 요청에 따라 수사 단계 구속영장에 포함되지 않았던 혐의(SK·롯데 관련 뇌물 등)로 법원이 추가 구속영장을 발부했다.,034730.KS,,,,,
352820_event1,352820,2025-05-28,"금감원, 방시혁 하이브 상장 당시 ‘사기적 부정거래 혐의’ 조사",https://www.mk.co.kr/article/11329192,"금융감독원이 하이브 창업자인 방시혁 의장의 사기적 부정거래 혐의를 조사 중이다. 28일 금융투자업계에 따르면, 금감원은 방 의장이 하이브 상장 과정에서 주주에게 기업공개(IPO) 계획이 없다고 속이면서 회사 상장을 추진한 정황을 확보하고, 자본시장법상 사기적 부정거래 혐의로 조사하고 있다. 방...",352820.KS,,,,,
42660_event2,42660,2025-05-23,배임은 대선뒤 걱정? '불법파업 손배소 취하' 내몰린 한화오션,https://www.joongang.co.kr/article/25338197,"김 대표가 “배임 문제가 있어 어렵다”고 하자 이 후보는 “법에 저촉되지 않는 방안이 있다면 법적·제도적으로 지원하겠다”고 답했다. 지난 4월에는 민주당 노동존중실천단과 을지키는민생실천위원회 주도로 한화오션, 하청노동자회의 협상창구인 ‘사회적 대화기구’도 마련됐다. 배임 우려하는...",042660.KS,,,,,
