event_id,stock_code,start_date,base_price,future_price,10d_return(%)
10130_event1,010130,2025-01-24,845000.0,784000.0,-7.22
11790_event1,011790,2025-01-16,159500.0,162700.0,2.01
161390_event1,161390,2025-05-29,38750.0,40050.0,3.35
207940_event1,207940,2025-02-03,1095000.0,1180000.0,7.76
24110_event1,024110,2025-01-10,13644.0517578125,14044.5263671875,2.94
270_event1,000270,2025-03-25,100800.0,84600.0,-16.07
270_event3,000270,2025-05-29,93200.0,98400.0,5.58
28260_event1,028260,2025-02-03,118700.0,127600.0,7.5
3230_event1,003230,2025-02-27,884000.0,881000.0,-0.34
34730_event1,034730,2025-01-16,140522.625,142538.3125,1.43
34730_event3,034730,2025-06-23,195800.0,223500.0,14.15
352820_event1,352820,2025-05-28,279000.0,300500.0,7.71
42660_event2,042660,2025-05-23,76000.0,78000.0,2.63
