기업명,이벤트 발생 횟수,관련 링크
한화비전,0,없음
HD현대마린솔루션,0,없음
에이피알,0,없음
엘앤에프,0,없음
포스코DX,0,없음
에코프로머티,0,없음
두산로보틱스,0,없음
이수스페셜티케미컬,0,없음
OCI,0,없음
LG에너지솔루션,0,없음
SK스퀘어,0,없음
카카오페이,0,없음
HD현대중공업,0,없음
크래프톤,0,없음
카카오뱅크,0,없음
에스디바이오센서,0,없음
F&F,0,없음
SK아이이테크놀로지,0,없음
SK바이오사이언스,0,없음
DL이앤씨,0,없음
하이브,0,없음
에스케이바이오팜,0,없음
한화시스템,0,없음
포스코퓨처엠,0,없음
더블유게임즈,0,없음
우리금융지주,0,없음
한일시멘트,0,없음
HS효성첨단소재,0,없음
효성중공업,0,없음
효성티앤씨,0,없음
셀트리온,0,없음
SK케미칼,0,없음
BGF리테일,0,없음
롯데웰푸드,0,없음
카카오,0,없음
오리온,0,없음
미원에스씨,0,없음
넷마블,0,없음
HD현대,0,없음
HD현대일렉트릭,0,없음
덴티움,0,없음
두산밥캣,0,없음
삼성바이오로직스,3,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240220800753; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240214800847; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201015800469
동서,0,없음
LIG넥스원,0,없음
삼성물산,3,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240208801439; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240205801064; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200904800573
씨에스윈드,0,없음
삼성에스디에스,0,없음
HL만도,0,없음
코스맥스,0,"요청 실패: HTTPSConnectionPool(host='opendart.fss.or.kr', port=443): Read timed out. (read timeout=10)"
종근당,0,없음
현대로템,0,없음
한진칼,2,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201124800482; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20190530800488
JB금융지주,0,없음
한국콜마,0,없음
한국타이어앤테크놀로지,4,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230331802032; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201123800386; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200420800723; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191213801257
GS리테일,0,없음
하나투어,0,없음
한국항공우주,6,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230512801270; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210218800691; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210209801360; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201228800727; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20201228800700; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20191224800003
이마트,0,없음
